words,pos
dự án,noun
dự định,"verb,noun"
dự đoán,verb
dự thi,other
dự toán,noun
dự trù,"noun,verb"
dưa,noun
dưa hấu,noun
dưa leo,noun
dừa,noun
dứa,noun
dựa,verb
dựa trên,other
dưng,other
dừng,verb
dừng lại,other
dửng dưng,adjective
dửng mỡ,noun
dựng,verb
dựng đứng,other
dược,"verb,noun"
dược học,noun
dược liệu,noun
dược sĩ,noun
dưới,adverb
dương,other
dương bản,other
dương cầm,noun
dương lịch,other
dương liễu,noun
dương tính,other
dương vật,noun
dường,noun
dường nào,other
dưỡng,verb
dưỡng bịnh,other
dưỡng đường,noun
dưỡng sinh,noun
dượng,other
dượt,verb
dứt,verb
dứt khoát,adjective
dứt tình,other
đa,other
đa âm,other
đa bào,noun
đa cảm,adjective
đa dâm,"noun,adjective"
đa diện,adjective
đa dục,other
đa giác,noun
đa hôn,other
đa mang,other
đa mưu,other
đa nghi,other
đa nguyên,adjective
đa sầu,"noun,adjective"
đa số,other
đa thần giáo,other
đa thê,other
đa thức,noun
đa tình,adjective
đà,other
đà điểu,noun
đả,verb
đả đảo,other
đả kích,"verb,noun"
đả thương,verb
đã,other
đã đành,other
đã lâu,other
đá,"noun,verb"
đá bóng,other
đá hoa,noun
đá hoa cương,noun
đá lửa,noun
đá mài,noun
đá vàng,noun
đá vôi,noun
đạc,other
đạc điền,noun
đai,noun
đài,noun
đài kỷ niệm,noun
đài thọ,noun
đãi,verb
đãi ngộ,other
đái,other
đái dầm,noun
đại,"adjective,other"
đại chiến,noun
đại chúng,noun
đại cương,other
đại diện,"noun,verb"
đại hạn,noun
đại học,noun
đại lục,noun
đại ý,noun
đam mê,"noun,verb"
đàm đạo,other
đàm luận,"verb,noun"
đàm phán,"verb,noun"
đàm thoại,noun
đảm,verb
đảm bảo,verb
đảm đương,verb
đảm nhận,verb
đám,noun
đám cháy,noun
đám cưới,noun
đám ma,other
đạm,noun
đạm bạc,adjective
đan,other
đàn,noun
đàn áp,"verb,noun"
đàn bà,noun
đàn bầu,noun
đàn hồi,noun
đàn ông,noun
đản,other
đạn,noun
đạn dược,noun
đạn đạo,noun
đang,other
đảng,noun
đảng bộ,noun
đáng,other
đáng kể,adjective
đáng sợ,adjective
đành lòng,other
đánh,verb
đánh bại,verb
đánh bạn,other
đánh bóng,"verb,noun"
đánh đổi,"verb,noun"
đánh đu,"verb,noun"
đánh đuổi,verb
đánh giá,"verb,noun"
đánh lừa,other
đánh thuế,other
đánh thức,verb
đánh vần,other
đao,noun
đào,"noun,verb"
đào binh,other
đào hoa,noun
đào ngũ,other
đào tạo,"verb,noun"
đảo,"noun,verb"
đảo chánh,other
đảo điên,other
đảo ngược,"verb,noun"
đáo,"verb,noun"
đáo lý,other
đạo,"noun,verb"
đạo đức,noun
đạo luật,noun
đạo nghĩa,other
đáp,verb
đáp lễ,other
đạp,verb
đạp đổ,verb
đạt,verb
đau,"noun,adjective"
đau buồn,other
đau đớn,"noun,adjective"
đau khổ,noun
đau lòng,other
đay,other
đay nghiến,other
đày,"adjective,verb"
đày đọa,verb
đáy,noun
đắc chí,other
đắc thắng,adjective
đắc tội,other
đặc,adjective
đặc biệt,adjective
đặc phái viên,noun
đặc tính,noun
đắm,verb
đắm đuối,"verb,adjective"
đẵn,other
đắn đo,verb
đăng,other
đăng cai,other
đăng ký,other
đăng quang,other
đăng ten,other
đằng,other
đẳng,adjective
đẳng áp,noun
đẳng cấp,noun
đẳng thức,noun
đẳng trương,other
đắng,adjective
đắp,verb
đắp đập,"verb,noun"
đắt,adjective
đặt,verb
đặt tên,other
đâm,verb
đâm liều,other
đầm,"noun,adjective"
đầm ấm,other
đầm lầy,noun
đẫm,adjective
đấm,verb
đấm bóp,"verb,noun"
đậm,adjective
đậm đà,adjective
đần,adjective
đập,verb
đất,noun
đất bồi,noun
đất liền,other
đâu,other
đầu,noun
đầu bếp,noun
đầu cơ,noun
đầu đảng,other
đầu đề,noun
đầu độc,"verb,noun"
đầu phiếu,other
đấu,"verb,noun"
đấu bò,noun
đấu giá,noun
đấu khẩu,noun
đấu lý,other
đấu tranh,"verb,noun"
đấu trường,noun
đậu,noun
đậu cô ve,noun
đậu đũa,noun
đậu khấu,noun
đậu mùa,noun
đậu nành,noun
đậu phụ,noun
đây,other
đầy,"adjective,verb"
đầy ắp,adjective
đầy dẫy,"adjective,noun"
đầy đủ,other
đẩy,verb
đẩy ngã,other
đẫy,verb
đấy,other
đậy,verb
đe,other
đe dọa,other
đè,verb
đè nén,"verb,noun"
đẻ,verb
đem,verb
đem lại,other
đem về,other
đen,adjective
đen tối,other
đèn,noun
đèn điện,noun
đèn ống,noun
đèn pin,noun
đèn vách,noun
đèn xếp,noun
đèn xì,noun
đeo,verb
đeo đuổi,verb
đèo,noun
đèo bồng,other
đẽo,verb
đẹp,adjective
đẹp lòng,other
đẹp mắt,other
đét,other
đê hèn,adjective
đề,noun
đề cử,other
đề nghị,other
đề phòng,other
để,other
để dành,other
để ý,other
đế quốc,noun
đế vương,noun
đệ đơn,noun
đệ trình,"verb,noun"
đệ tử,noun
đêm,noun
đêm nay,other
đêm ngày,other
đếm,verb
đệm,noun
đền,noun
đền tội,other
đến,verb
đến tuổi,other
đều,other
đều nhau,other
đểu,adjective
đi,verb
đi bộ,other
đi chơi,other
đi dạo,other
đi làm,other
đi ngủ,other
đi trốn,other
đi vắng,other
đì,other
đĩ,noun
đìa,noun
địa,other
địa cầu,noun
địa chỉ,noun
địa đạo,noun
địa điểm,noun
địa lý học,other
địa ngục,noun
địa tầng,noun
địa vị,noun
đích,adjective
đích danh,other
đinh,noun
đinh ốc,noun
đình,noun
đình chiến,noun
đình công,noun
đỉnh,noun
đĩnh,other
đính,other
đính hôn,other
định,other
định bụng,other
định cư,other
định hướng,noun
định luật,noun
định lý,noun
định mạng,noun
định nghĩa,noun
định tính,other
định vị,noun
đít,other
địt,verb
đìu hiu,"noun,adjective"
đo,verb
đo ván,other
đò,noun
đỏ,adjective
đỏ tươi,adjective
đó,other
đọ,verb
đọa đày,verb
đoái tưởng,other
đoan,other
đoan chính,other
đoàn,noun
đoàn kết,noun
đoàn thể,noun
đoàn tụ,other
đoàn viên,noun
đoản kiếm,noun
đoán,verb
đoán trước,other
đoạn,noun
đoạn trường,noun
đoạn tuyệt,other
đoạt,verb
đoạt chức,other
đọc,verb
đòi,verb
đòi tiền,other
đói,"adjective,verb"
đọi,other
đom đóm,noun
đòn,noun
đòn cân,noun
đòn dông,noun
đòn tay,noun
đón,verb
đón tiếp,other
đong,verb
đóng,verb
đóng khung,other
đóng thuế,other
đọng,verb
đọt,noun
đô hộ,noun
đô thị,noun
đô vật,noun
đồ,noun
đồ ăn,noun
đồ bỏ,noun
đồ chơi,noun
đồ đạc,noun
đồ nghề,noun
đồ tể,noun
đổ,verb
đổ máu,other
đỗ,"verb,noun"
đỗ quyên,noun
đố,"noun,verb"
độ,"noun,adjective"
độ thân,other
đốc công,noun
độc,adjective
độc giả,noun
độc hại,adjective
độc lập,"adjective,noun"
độc nhất,adjective
độc tài,"adjective,noun"
độc thân,other
đôi,"noun,adjective"
đôi co,other
đôi khi,other
đồi,noun
đồi bại,noun
đổi,verb
đổi chác,"verb,noun"
đổi thay,"verb,noun"
đổi tiền,other
đỗi,verb
đối,"verb,noun"
đối diện,other
đối lập,"noun,adjective"
đối ngoại,other
đối nội,other
đối phó,"verb,noun"
đội,noun
đốm,noun
đồn,noun
đồn trú,other
đốn,verb
độn,verb
độn thổ,other
độn vai,other
đông,"adjective,noun"
đông đảo,adjective
đông đúc,adjective
đông y,other
đồng,noun
đồng âm,other
đồng bộ,other
đồng chí,other
đồng lõa,other
đồng nghĩa,other
đồng tiền,noun
đồng tử,noun
đồng vị,noun
đồng ý,other
đống,"noun,adjective"
động,"verb,noun"
động cơ,noun
động đào,noun
động đất,noun
động tác,noun
động vật,noun
động viên,"verb,noun"
đốt,verb
đột,other
đột kích,"verb,noun"
đột xuất,adjective
đờ,other
đờ đẫn,adjective
đỡ,"verb,adverb"
đỡ đầu,other
đợ,other
đời,noun
đời đời,other
đời nào,other
đời sống,noun
đới,other
đợi,verb
đờm,noun
đơn,"adjective,noun"
đơn sơ,adjective
đơn vị,noun
đớn hèn,adjective
đớp,verb
đợt,noun
đu,other
đu đưa,verb
đủ,adjective
đủ ăn,other
đụ,verb
đua,verb
đua đòi,other
đùa,verb
đùa cợt,other
đùa nghịch,other
đũa,noun
đúc,verb
đúc kết,"verb,noun"
đục,"verb,adjective"
đui,adjective
đùi,noun
đùm,other
đun,verb
đụn,noun
đúng,"adjective,adverb"
đúng giờ,other
đụng,verb
đuốc,noun
đuôi,noun
đuổi,verb
đuổi kịp,other
đuổi theo,other
đúp,verb
đút,verb
đút lót,"verb,noun"
đụt mưa,other
đưa,verb
đưa đón,"verb,noun"
đưa đường,other
đưa tin,other
đưa tình,other
đứa bé,noun
đức tính,noun
đực,adjective
đừng,other
đứng,verb
đứng vững,other
đứng yên,other
đựng,verb
được,other
được quyền,other
đười ươi,noun
đương chức,other
đương cục,noun
đương đầu,"verb,noun"
đương nhiên,other
đường,noun
đường bộ,other
đường cấm,other
đường đời,other
đường trường,other
đường về,other
đứt,verb
đứt tay,other
e,other
e dè,adjective
e lệ,other
e ngại,other
e rằng,other
è cổ,other
em,other
em chồng,other
em dâu,other
em gái,other
em họ,other
ém,other
ém nhẹm,other
én,other
eo,other
eo biển,noun
eo đất,noun
eo éo,noun
eo hẹp,adjective
eo lưng,other
èo uột,adjective
ẻo lả,adjective
ẽo ẹt,other
éo le,other
ẹo,other
ép,"verb,noun"
ép buộc,other
ép duyên,other
ép liễu nài hoa,other
ép lòng,other
ép nài,"noun,adjective"
ép uổng,other
ẹp,adjective
ê,other
ê a,other
ê ẩm,other
ê chề,other
ê hề,other
ê răng,other
ề à,other
ế,other
ế chồng,other
ếch,noun
ếch nhái,noun
êm,other
êm ả,adjective
êm ái,adjective
êm ấm,adjective
êm dịu,adjective
êm đềm,adjective
êm tai,other
êm thấm,adjective
ếm,other
ềnh,other
ễnh,other
ễnh ương,noun
ga,noun
ga ra,other
ga tô,noun
gà,noun
gà chọi,noun
gà đồng,noun
gà giò,noun
gà lôi,other
gà mái,noun
gà mái ghẹ,other
gà mờ,other
gà rừng,noun
gà tây,noun
gà thiến,noun
gà trống,noun
gả,verb
gã,noun
gá,other
gạ,verb
gạ gẫm,verb
gác,noun
gác bỏ,verb
gác chuông,noun
gác dan,noun
gác lửng,noun
gác xép,noun
gạc,noun
gạch,noun
gạch đít,noun
gạch nối,other
gạch ống,noun
gai,noun
gai góc,noun
gai mắt,other
gai ốc,noun
gài,other
gài bẫy,noun
gài cửa,other
gãi,verb
gái,noun
gái điếm,noun
gái giang hồ,other
gái góa,other
gái nhảy,other
gái tơ,noun
gain,other
gan,other
gan bàn chân,other
gan dạ,adjective
gan góc,other
gan lì,other
gàn,other
gán,verb
gạn cặn,noun
gạn hỏi,other
gang,other
ganh đua,other
ganh ghét,other
gánh,"verb,noun"
gánh hát,noun
gào,verb
gào thét,other
gáo,noun
gạo,noun
gạo nếp,noun
gạt,verb
gạt lệ,other
gạt nợ,other
gàu,noun
gàu ròng,other
gay cấn,adjective
gay gắt,adjective
gay go,"adjective,noun"
gảy đàn,other
gãy,verb
gãy đổ,other
gáy,adjective
gáy sách,other
găm,verb
gặm,verb
gặm nhấm,"verb,noun"
gắn,verb
gắn bó,other
gắn liền,other
găng,noun
gắng,other
gắng sức,other
gắp,verb
gặp,verb
gặp gỡ,"verb,noun"
gặp may,other
gặp mặt,other
gặp nạn,other
gặp nhau,other
gắt,adjective
gắt gỏng,adjective
gặt,verb
gầm,noun
gầm ghè,other
gầm thét,other
gẫm,verb
gấm,noun
gân,adjective
gân cốt,noun
gần,"adverb, adjective"
gần đây,other
gần gũi,adjective
gần xa,other
gấp,"verb,adjective"
gấp bội,other
gấp đôi,other
gấp khúc,noun
gập ghềnh,adjective
gật,verb
gấu,noun
gấu chó,noun
gấu mèo,noun
gấu ngựa,noun
gây,verb
gây dựng,verb
gây nợ,other
gây sự,other
gây thù,other
gầy,adjective
gầy còm,adjective
gầy đét,adjective
gầy gò,adjective
gầy guộc,adjective
gầy yếu,adjective
gậy,noun
ghe,noun
ghè,other
ghẻ,noun
ghẻ lạnh,other
ghé,verb
ghẹ,noun
ghen,"verb,adjective"
ghen ghét,"verb,noun"
ghen tỵ,other
ghẹo,verb
ghép,verb
ghét,verb
ghê,adjective
ghê tởm,adjective
ghế,noun
ghế bành,noun
ghế dài,noun
ghế đẩu,noun
ghế điện,noun
ghếch,other
ghềnh,noun
ghi,verb
ghi âm,other
ghi chép,"verb,noun"
ghi nhập,other
ghi nhớ,"verb,noun"
ghì,other
ghiền,"verb,noun"
ghim,"noun,verb"
ghìm,verb
gì,other
gỉ,other
gia,noun
gia cảnh,other
gia công,"noun,verb"
gia đình,noun
gia nhập,other
gia phả,other
gia sản,noun
gia súc,noun
gia tài,noun
gia tăng,other
gia tốc,noun
gia truyền,noun
gia vị,noun
già,adjective
già dặn,other
già lam,other
giả,"adjective, noun"
giả bộ,other
giả danh,other
giả dối,adjective
giả định,other
giả mạo,"verb,noun"
giả sử,other
giả thuyết,noun
giã,verb
giã độc,other
giã từ,other
giá,"noun,adjective"
giá buốt,other
giá cả,other
giá chợ đen,other
giá thị trường,other
giạ,other
giác,"noun,adjective"
giác mạc,noun
giác ngộ,noun
giác quan,noun
giác thư,other
giai âm,noun
giai cấp,other
giai đoạn,noun
giai nhân,noun
giải,"verb,noun"
giải cứu,"verb,noun"
giải khát,other
giải khuây,verb
giải nghĩa,other
giải nhiệt,other
giải pháp,noun
giải phẫu,noun
giải phóng,verb
giải quyết,verb
giải tán,verb
giải thể,"verb,noun"
giải thích,"verb,noun"
giải tỏa,verb
giải trí,noun
giãi bày,verb
giam,verb
giảm,verb
giảm nhẹ,other
giảm sút,"verb,noun"
giảm thuế,other
giảm tội,other
giám định,"noun,verb"
giám đốc,noun
giám khảo,noun
giám mục,noun
giám ngục,noun
giám sát,"verb,noun"
giám thị,noun
giạm,verb
gian,"noun,adjective"
gian dâm,noun
gian dối,"noun,adjective"
gian xảo,noun
giàn,noun
giản dị,adjective
giản lược,adjective
giản tiện,adjective
giãn,verb
gián,noun
gián điệp,noun
gián tiếp,other
giang,other
giang hồ,noun
giang mai,other
giang sơn,noun
giảng,verb
giảng đường,noun
giảng giải,verb
giảng sư,noun
giáng,other
giáng sinh,other
giành,verb
giao,"verb,noun"
giao cấu,noun
giao chiến,noun
giao dịch,noun
giao hợp,noun
giao hưởng,noun
giao hữu,other
giao phó,other
giao thiệp,noun
giao thông,noun
giao thời,other
giao thừa,other
giảo,other
giảo quyệt,adjective
giáo,noun
giáo án,noun
giáo cụ,noun
giáo dân,other
giáo dục,noun
giáo đầu,other
giáo điều,noun
giáo đường,noun
giáo hoàng,other
giáo khoa,noun
giáo phái,other
giáo sĩ,noun
giáo sinh,other
giáo sư,noun
giáo viên,noun
giáp,noun
giáp mặt,other
giàu,adjective
giày,noun
giày vò,noun
giãy,verb
giãy chết,other
giặc,noun
giặc biển,noun
giặc cướp,noun
giặc giã,noun
giẵm,verb
giặm,verb
giằn,verb
giằn vặt,verb
giăng,verb
giăng lưới,"verb,noun"
giằng,verb
giằng co,other
giắt,other
giặt,verb
giấc,noun
giấc mơ,noun
giấc ngủ,noun
giâm,verb
giầm,verb
giấm,noun
giậm,verb
giần,other
giận,"verb,adjective"
giận dữ,adjective
giập,verb
giật,verb
giật gân,"adjective,noun"
giật lùi,verb
giấu,verb
giậu,other
giây,noun
giấy,noun
giấy bạc,noun
giấy biên lai,noun
giấy chứng chỉ,other
giấy dầu,noun
giấy in,noun
giấy khai sanh,other
giấy khai tử,other
giấy má,noun
giấy phép,noun
giấy than,noun
giấy thông hành,other
giấy vệ sinh,noun
giẻ,noun
gièm,other
gieo,verb
gieo rắc,verb
giẹo,verb
giẹp,other
giền,verb
giêng,noun
giếng,noun
giết,verb
giết hại,verb
giết thịt,"verb,noun"
giễu,other
giễu cợt,noun
gìn,other
gìn giữ,other
giò,noun
giỏ,noun
gió,noun
gió bảo,other
gió lốc,other
gió lùa,other
gió mùa,other
gió nồm,other
gióc,other
giòi,adjective
giỏi,adjective
giọi,other
giòn,adjective
giong,"verb,noun"
giong ruổi,other
giỏng,other
giỏng tai,other
gióng,"verb,noun"
giọng,noun
giọng kim,other
giọng lưỡi,noun
giọng nói,other
giọng thổ,other
giọt,noun
giọt máu,noun
giọt mưa,noun
giọt nước,noun
giọt sương,noun
giỗ,noun
giồi,verb
giội,verb
giống,"adjective,verb"
giống loài,noun
giống người,other
giống nòi,other
giơ,verb
giờ,noun
giờ đây,other
giờ giấc,other
giờ làm thêm,other
giờ phút,other
giờ rãnh,other
giới,noun
giới hạn,noun
giới thiệu,"verb,noun"
giới tính,noun
giới từ,noun
giờn,other
giởn tóc gáy,other
giỡn,verb
giũ,verb
giũa,other
giục,verb
giùi,verb
giúi,verb
giụi mắt,other
giun,noun
giun đất,noun
giun đũa,noun
giun kim,noun
giúp,verb
giúp ích,other
giữ,verb
giữ chỗ,other
giữ kín,other
giữ lời,other
giữ sức khỏe,other
giữ trật tự,other
giữa,other
giữa trưa,other
giương,verb
giương buồm,noun
giương mắt,other
giường,noun
giựt,verb
giựt mình,"verb,noun"
go,verb
gò,other
gò bó,other
gò má,other
gõ,verb
góa,other
góa bụa,other
góc,noun
gỏi,noun
gói,noun
gọi,verb
gọi điện thoại,other
gom,noun
gòn,noun
gọn gàng,adjective
gọng,noun
góp,verb
góp mặt,other
góp nhặt,verb
góp phần,other
góp sức,other
góp vốn,other
gót,other
gọt,verb
gồ,adjective
gồ ghề,adjective
gỗ,noun
gốc,"noun,adjective"
gối,noun
gội,verb
gôm,noun
gồm,other
gôn,noun
gông,noun
gồng,verb
gộp vào,other
gột,verb
gột rửa,verb
gờ,other
gở,other
gỡ,verb
gỡ rối,other
gởi,verb
gởi gắm,verb
gợi,verb
gờm,other
gớm,adjective
gợn,verb
gợt,other
gù,other
gù lưng,noun
gục,verb
gùi,verb
guốc,noun
guồng,noun
gút,noun
gừ,other
gửi,verb
gửi gắm,other
gừng,noun
gươm,noun
gườm,other
gượm,verb
gương,noun
gương mẫu,"noun,adjective"
gượng,verb
gượng dậy,other
gượng nhẹ,adjective
ha,other
ha ha,other
hà,other
hà bá,other
hà hiếp,"verb,noun"
hà khắc,other
hà mã,noun
hà tất,other
hà tiện,"noun,adjective"
hả,other
hả giận,other
há,adjective
há hốc,adjective
hạ,"verb,adjective"
hạ bộ,noun
hạ cánh,"verb,noun"
hạ cấp,"noun,adjective"
hạ chí,other
hạ cố,other
hạ du,noun
hạ giá,"verb,noun"
hạ giọng,other
hạ lệnh,"verb,noun"
hạ lịnh,other
hạ mình,other
hạ thủy,"verb,noun"
hạc,noun
hách,adjective
hạch,noun
hạch nhân,noun
hạch sách,noun
hai,other
hai lòng,other
hai vợ chồng,other
hài,other
hài cốt,noun
hài hòa,adjective
hài hước,adjective
hài kịch,noun
hài lòng,adjective
hải,other
hải âu,noun
hải cảng,noun
hải cẩu,noun
hải đảo,noun
hải đăng,noun
hải hà,other
hải lưu,noun
hải lý,noun
hải mả,other
hải ngoại,other
hải phận,noun
hải quan,noun
hải quân,noun
hải tặc,noun
hải vị,noun
hải yến,other
hãi,adjective
hái,verb
hại,"verb,adjective"
ham,"noun,verb"
ham mê,"verb,noun"
ham muốn,other
hàm,noun
hàm hồ,adjective
hàm số,noun
hàm súc,noun
hãm,"verb,noun"
hãm hại,adjective
hám,verb
hạm,other
hạm đội,noun
han,other
hàn,other
hàn gắn,verb
hàn sĩ,other
hàn the,other
hàn thử biểu,noun
hàn vi,other
hãn,adjective
hãn hữu,other
hán học,noun
hạn,noun
hạn chế,verb
hạn hán,noun
hạn hẹp,adjective
hang,noun
hàng,noun
hàng đầu,other
hàng giậu,other
hàng hải,noun
hàng hóa,noun
hàng không,noun
hàng lậu,other
hàng loạt,other
hàng ngày,other
hàng ngũ,other
hàng rào,noun
hàng tháng,other
hàng tuần,other
hàng xóm,noun
hãng,noun
háng,noun
hạng,noun
hạng người,other
hanh,"verb,noun"
hanh thông,noun
hành,"noun,verb"
hành chánh,noun
hành động,"noun,verb"
hành hạ,verb
hành hình,"verb,noun"
hành khách,noun
hành khất,noun
hành lạc,noun
hành lang,noun
hành lý,noun
hành pháp,other
hành quân,"verb,noun"
hành tây,noun
hành trình,noun
hành tung,noun
hành văn,other
hành vi,noun
hãnh diện,adjective
hãnh tiến,other
hạnh,other
hạnh kiểm,noun
hạnh ngộ,noun
hạnh phúc,"noun,adjective"
hao,"adjective,verb"
hao hụt,other
hao mòn,noun
hao tổn,"verb,noun"
hào,other
hào hiệp,adjective
hào hoa,adjective
hào hùng,adjective
hào hứng,adjective
hào khí,other
hào kiệt,noun
hào nhoáng,adjective
hào phóng,adjective
hào quang,noun
hảo,adjective
hảo hán,noun
hảo tâm,noun
hão,other
háo,adjective
háo hức,adjective
hạo nhiên,other
hạp,adjective
hát,verb
hát xiệc,"verb,noun"
hạt,noun
hạt lệ,noun
hạt tiêu,noun
hàu,noun
hay,"adjective,adverb"
hay lây,other
hãy,other
hãy còn,other
háy,other
hắc,adjective
hắc ín,noun
hặc,other
hăm,other
hăm hở,adjective
hằm hằm,adjective
hằn,other
hằn học,other
hẳn,other
hắn,other
hăng,adjective
hăng hái,adjective
hằng,other
hằng hà sa số,other
hằng số,noun
hắt,other
hắt hiu,other
hắt hơi,other
hắt hủi,verb
hâm,adjective
hâm hấp,adjective
hâm mộ,"noun,verb"
hầm,noun
hầm mỏ,noun
hầm mộ,noun
hầm trú ẩn,other
hẩm,other
hẩm hiu,adjective
hân hạnh,other
hân hoan,adjective
hận,verb
hấp,verb
hấp dẫn,adjective
hấp hối,"verb,noun"
hấp hơi,other
hấp tấp,adjective
hấp thụ,"verb,noun"
hất,verb
hất hủi,"verb,noun"
hầu,"verb,noun"
hầu bao,noun
hầu cận,noun
hầu chuyện,other
hầu hạ,verb
hầu hết,other
hẩu,other
hậu,adjective
hậu môn,noun
hậu phương,noun
hậu quả,noun
hậu sản,other
hậu thế,noun
hậu thuẫn,noun
hậu tố,noun
hậu trường,noun
hậu vận,noun
hẩy,other
he,other
hè,other
hé môi,noun
hé mở,other
hé nắng,other
hé răng,other
hẹ,other
hèm,other
hẻm,noun
hen,noun
hèn,adjective
hèn hạ,adjective
hèn mạt,other
hèn mọn,adjective
hèn nhát,adjective
hèn yếu,adjective
hẹn,verb
hẹn hò,other
heo,noun
heo hút,other
heo nái,noun
heo quay,other
hèo,other
hẻo lánh,adjective
héo,adjective
héo hắt,adjective
hẹp,adjective
hẹp lượng,other
hét,verb
hề,other
hể hả,other
hễ,other
hệ,noun
hệ quả,noun
hệ thống,noun
hệ trọng,other
hếch,adjective
hếch hoác,adjective
hếch mồm,adjective
hên,adjective
hến,noun
hết,other
hết hồn,other
hết hơi,other
hết lòng,other
hết sức,other
hếu,other
hỉ nọ,other
hỉ nự,other
hí,other
hí hoáy,adjective
hí trường,other
hia,other
hích,other
hịch,other
hiềm nghi,other
hiềm oán,noun
hiểm,adjective
hiểm ác,adjective
hiểm độc,adjective
hiểm họa,noun
hiểm nghèo,noun
hiếm,adjective
hiên,noun
hiên ngang,adjective
hiền,adjective
hiền hòa,adjective
hiền sĩ,noun
hiền triết,noun
hiền từ,other
hiển hách,adjective
hiển nhiên,adjective
hiến,verb
hiến chương,noun
hiến pháp,noun
hiện,"verb,adjective"
hiện diện,"verb,noun"
hiện đại,adjective
hiện hành,other
hiện hình,verb
hiện nay,other
hiện tại,other
hiện thân,other
hiện thực,noun
hiện tình,other
hiện trạng,other
hiện tượng,noun
hiện vật,noun
hiếng,other
hiếp,other
hiếp dâm,noun
hiệp,other
hiệp định,noun
hiệp đồng,noun
hiệp hội,noun
hiệp thương,noun
hiệp ước,noun
hiểu,verb
hiểu biết,noun
hiểu lầm,noun
hiếu,adjective
hiếu chiến,adjective
hiếu đễ,other
hiếu kỳ,adjective
hiếu thảo,noun
hiệu,noun
hiệu chính,other
hiệu đính,"noun,verb"
hiệu lệnh,noun
hiệu lực,other
hiệu nghiệm,adjective
hiệu quả,"noun,adjective"
hiệu số,noun
hiệu suất,noun
hiệu trưởng,noun
hình dáng,other
hình dạng,noun
hình dung,"verb,noun"
hình học,noun
hình như,other
hình thể,noun
hỉnh,other
híp,adjective
hít,verb
hiu quạnh,noun
ho,other
ho gà,other
ho hen,other
ho lao,other
hò,other
hò la,other
hò reo,other
họ,other
họ hàng,noun
hoa,noun
hoa hậu,noun
hoa hiên,noun
hoa hoét,adjective
hoa hồng,noun
hoa kỳ,other
hoa lệ,adjective
hoa liễu,noun
hoa lợi,noun
hoa mỹ,other
hoa quả,noun
hoa tiêu,noun
hòa,"verb,noun"
hòa bình,noun
hòa giải,other
hòa hợp,other
hòa khí,noun
hòa nhã,adjective
hòa nhạc,noun
hòa nhịp,other
hòa tan,verb
hòa thuận,adjective
hỏa,noun
hỏa châu,noun
hỏa diệm sơn,noun
hỏa hoạn,noun
hỏa lực,noun
hỏa pháo,noun
hỏa táng,noun
hỏa tiễn,noun
hỏa xa,noun
hóa,"verb,noun"
hóa chất,noun
hóa đơn,noun
hóa giá,other
hóa học,noun
hóa thạch,noun
hóa trang,noun
họa,noun
họa báo,noun
họa đồ,noun
họa mi,noun
họa sĩ,noun
hoạch định,"verb,noun"
hoài,other
hoài cổ,adjective
hoài nghi,other
hoài niệm,noun
hoài vọng,noun
hoại,adjective
hoại thư,noun
hoan hỉ,adjective
hoan hô,other
hoan lạc,other
hoàn,adjective
hoàn cảnh,noun
hoàn cầu,noun
hoàn mỹ,adjective
hoàn tất,verb
hoàn thành,verb
hoàn thiện,other
hoàn toàn,other
hoàn vũ,other
hoãn,"adjective,verb"
hoán chuyển,"noun,verb"
hoán dụ,other
hoán vị,noun
hoạn,noun
hoạn nạn,noun
hoang,other
hoang dại,noun
hoang dâm,noun
hoang đường,other
hoang mang,other
hoang phế,noun
hoang phí,adjective
hoang tàn,noun
hoang vu,other
hoàng,other
hoàng cung,noun
hoàng gia,other
hoàng hôn,noun
hoàng oanh,other
hoàng thân,other
hoàng thượng,other
hoàng tộc,noun
hoàng tử,noun
hoảng,adjective
hoảng hốt,adjective
hoảng sợ,other
hoành hành,verb
hoành tráng,adjective
hoạnh tài,other
hoạt bát,adjective
hoạt động,"noun,verb"
hoạt họa,noun
hoắc,other
hoặc,other
hoắt,other
hóc,other
hóc búa,other
học,verb
học bổng,noun
học đường,noun
học giả,noun
học lực,other
học phí,noun
học thuyết,noun
học thức,"verb,noun"
học trò,noun
học viên,noun
học viện,noun
học xá,noun
hòe,other
hoi hóp,other
hỏi,verb
hỏi cung,other
hỏi dò,other
hỏi han,other
hỏi tiền,other
hói,verb
hòm,noun
hòn,noun
hòn bi,noun
hòn dái,noun
hong,"noun,adjective"
hỏng,adjective
hóng mát,other
họng,noun
hóp,noun
họp,"verb,noun"
hót,verb
hô,other
hô hấp,noun
hồ,noun
hồ đồ,"noun,adjective"
hồ nghi,other
hồ sơ,noun
hồ tắm,noun
hổ,noun
hổ phách,noun
hổ thẹn,adjective
hỗ trợ,"verb,noun"
hố,noun
hộ,noun
hộ chiếu,noun
hộ khẩu,noun
hộ lý,noun
hộ thân,other
hộ tịch,noun
hộ tống,"verb,noun"
hộ vệ,noun
hốc,noun
hốc hác,adjective
hộc,noun
hôi,adjective
hôi hám,adjective
hôi thối,adjective
hồi,other
hồi âm,noun
hồi giáo,other
hồi hộp,adjective
hồi kí,noun
hồi sinh,other
hồi tỉnh,"verb,noun"
hồi tưởng,"verb,noun"
hối,verb
hối đoái,noun
